BOROUGH_DESC,mean_response_time,stddev_response_time,Number of Stations
Queens,304.88766206004806,95.55555563566608,51
Brooklyn,268.5061745721898,91.8165961583359,66
Staten Island,290.25182678968935,95.47763081674967,20
Manhattan,309.4056283119371,97.94844454832341,48
Bronx,316.9891527282927,98.6089917014625,34
