ZIP_CODE,avg (Response Time),stddev (Response Time),avg (Handling Time),stddev (Handling Time),Incident Count,Number of Stations,Longitude,Latitude
10001,392.611814549131,448.5251382549794,1139.341196861008,2100.0107325814124,41542,1,-73.991188,40.748474
10002,319.84628873569375,220.0716770105635,1043.032768890971,2555.565563385183,74705,2,-73.9883805,40.7159235
10003,307.5716784708593,451.96846375319154,947.8719600648519,1628.4593225614888,46876,3,-73.98796166666666,40.73417833333333
10004,336.53391991838816,570.145963124888,1098.639505228258,1764.6947713416826,7842,,,
10005,319.9533427274151,212.72537139578188,1115.1993111006732,2557.011320240472,6387,1,-74.007717,40.703694
10006,304.69253859348197,191.73324313124786,1096.307461406518,1398.42424227302,4664,1,-74.012608,40.709819
10007,307.76917064019386,201.2993244495254,1014.2691315563198,1829.9325175939632,12793,1,-74.0063,40.715339
10009,325.03096899224806,240.09837194785587,1031.4600581395348,2466.995138767682,51600,1,-73.982526,40.721879
10010,365.4529139099085,241.84012268459978,1029.0469870448874,1788.5670969555322,25241,,,
10011,324.74596574323954,324.5642897436432,1014.1550641625819,2340.6187590687537,36314,1,-73.996868,40.741196
10012,285.9709750566893,234.58093424145093,990.4857967429396,1352.437515098,24255,2,-73.99454850000001,40.72500599999999
10013,324.4964592984778,188.4382913922561,1076.4046326935804,1907.556794035504,30220,2,-74.00119000000001,40.7197075
10014,318.3025785108986,297.57131713740733,964.693207051253,1324.7874309480856,22067,3,-74.00520999999999,40.734401999999996
10016,374.51656240154824,298.0471898891454,1079.7367118232144,2909.063109827461,44438,2,-73.9764535,40.745159
10017,379.0682185982821,184.7049628647166,1034.4508485829288,3112.180406377163,24099,,,
10018,386.02259483036,302.14322488150754,1016.9380072217654,3922.55006102053,27971,2,-73.9934235,40.754850000000005
10019,365.3906193625977,234.67114923564833,1115.1035478051713,1640.2821368031339,41575,1,-73.980368,40.766699
10020,407.41981747066495,343.91874072255564,1221.8344198174707,1487.5374691334946,1534,,,
10021,370.81942311333654,330.1004738727464,1097.3367276093497,1429.8299990586909,47531,1,-73.958154,40.771454
10022,404.29691521005316,237.16945673941515,1115.7132448781792,2620.294378781125,29921,1,-73.970805,40.756891
